id,url
1,https://www.nature.com/articles/d41586-025-03394-w
2,https://www.quantamagazine.org/self-assembly-gets-automated-in-reverse-of-game-of-life-20250910/
3,https://eopla.net/magazines/34509
4,https://realty.chosun.com/site/data/html_dir/2025/09/24/2025092403537.html
5,https://www.hani.co.kr/arti/science/science_general/1220605.html#ace04ou
6,https://m.blog.naver.com/loonshots88/223990721447?isInf=true
7,https://www.docdocdoc.co.kr/news/articleView.html?idxno=3032272
8,https://news.hada.io/topic?id=23368
9,https://youtu.be/Mlcon1gooMU?si=Tj0CidTwChS-Wqyl
10,https://www.instagram.com/p/DLpQl8WgyJV/?igsh=MWV4cnFnbDg1MmU3eg==
11,https://youtube.com/shorts/-18Q5s_mSDQ?si=xY7zrhkjAomx7660
12,https://www.alphamarketing.shop/?utm_medium=paid&utm_source=ig&utm_id=23849141487670795&utm_content=23849141487660795&utm_term=23849141487650795&utm_campaign=23849141487670795&fbclid=PAb21jcANJLJJleHRuA2FlbQEwAGFkaWQAVLqrBbzWawGnV6-P8E2jG-0EskiIjTBhQZkFuX
14,http://youtube.com/post/UgkxMPYNQ6ZOJLpdDew-vCArEPg0LhyfL1Gv?si=epZn9T328J42HWn1
15,https://www.youtube.com/shorts/3txNW1sxL7c
16,https://www.nad.com/news/anti-aging-breakthrough-stem-cells-reverse-signs-of-aging-in-monkeys
17,https://www.snulife.com/board/best/view/?category=10&id=2427291
18,https://zdnet.co.kr/view/?no=20251002144624#_DYAD
19,https://x.com/UvixOnly/status/1974004623171334179?t=U2y1_cKf7d7dyhLgLqlnAQ&s=19
20,https://www.g-enews.com/article/Global-Biz/2025/09/202509291402212069e250e8e188_1
21,https://www.bloomberg.com/news/newsletters/2025-10-04/why-korea-is-becoming-the-new-japan-merryn-talks-money?accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzb3VyY2UiOiJTdWJzY3JpYmVyR2lmdGVkQXJ0aWNsZSIsImlhdCI6MTc1OTU4NTM5MCwiZXhwIjoxNzYwMTkwMTkwLCJhc
25,https://www.threads.com/@travelswithviews/post/DPcEUC4CLEY?xmt=AQF0-VAGFJYpOtH_qn6fjBIUE5p0NlaG_IZ8tLk0EAsYfg&slof=1
26,https://n.news.naver.com/article/654/0000145249?type=breakingnews&cds=news_edit
27,https://m.dongascience.com/news.php?idx=74437
28,https://v.daum.net/v/20251012175738550
29,https://v.daum.net/v/20251014003538023
30,https://m.mk.co.kr/news/society/11441068
